,bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,venue,team1,4 wicket,5 wicket,dr11Score
0,A Flintoff,4,44,0,1,11.0,2009-04-18,Mumbai Indians,Mumbai Indians,Newlands,Chennai Super Kings,0,0,29
1,A Flintoff,3,11,0,1,4.0,2009-04-20,Chennai Super Kings,Chennai Super Kings,St George's Park,Chennai Super Kings,0,0,29
2,A Flintoff,4,50,0,0,12.0,2009-04-23,Delhi Daredevils,Delhi Daredevils,Kingsmead,Chennai Super Kings,0,0,4
3,A Nehra,3,24,0,1,8.0,2014-04-18,Kings XI Punjab,Kings XI Punjab,Sheikh Zayed Stadium,Chennai Super Kings,0,0,29
4,A Nehra,4,33,0,3,8.0,2014-05-24,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,79
5,A Nehra,4,34,0,2,8.0,2014-05-28,Mumbai Indians,Chennai Super Kings,Brabourne Stadium,Chennai Super Kings,0,0,54
6,A Nehra,4,51,0,2,13.0,2014-05-30,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings,0,0,54
7,A Nehra,4,25,0,4,6.0,2015-04-09,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,0,112
8,A Nehra,4,31,0,0,8.0,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
9,A Nehra,4,23,0,3,6.0,2015-04-17,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,79
10,A Nehra,4,32,0,0,8.0,2015-04-19,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",Chennai Super Kings,0,0,4
11,A Nehra,4,10,0,4,2.0,2015-04-22,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,1,0,112
12,A Nehra,4,16,0,2,4.0,2015-04-25,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
13,A Nehra,4,38,0,2,10.0,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
14,A Nehra,4,36,0,0,9.0,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,4
15,A Nehra,4,31,0,1,8.0,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,0,0,29
16,A Nehra,4,19,0,3,5.0,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
17,A Nehra,3,45,0,0,15.0,2015-05-08,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
18,A Nehra,4,29,0,0,7.0,2015-05-10,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
19,A Nehra,3,17,0,1,6.0,2015-05-16,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,29
20,A Nehra,4,28,0,1,7.0,2015-05-19,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,29
21,A Nehra,4,28,0,3,7.0,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,79
22,A Nehra,4,41,0,1,10.0,2015-05-24,Chennai Super Kings,Mumbai Indians,Eden Gardens,Chennai Super Kings,0,0,29
23,AS Rajpoot,3,25,0,1,8.0,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
24,AS Rajpoot,1,10,0,0,10.0,2013-04-10,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,4
25,B Laughlin,3,25,0,1,8.0,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
26,B Laughlin,4,46,0,0,12.0,2013-05-05,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,4
27,BW Hilfenhaus,4,31,0,1,8.0,2012-05-04,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
28,BW Hilfenhaus,4,34,1,2,8.0,2012-05-06,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,62
29,BW Hilfenhaus,4,8,1,2,2.0,2012-05-10,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,0,0,62
30,BW Hilfenhaus,4,27,0,3,7.0,2012-05-12,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
31,BW Hilfenhaus,3,26,0,1,9.0,2012-05-14,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Chennai Super Kings,0,0,29
32,BW Hilfenhaus,4,20,0,1,5.0,2012-05-17,Chennai Super Kings,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,0,0,29
33,BW Hilfenhaus,4,45,0,1,11.0,2012-05-23,Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,29
34,BW Hilfenhaus,3,17,0,1,6.0,2012-05-25,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
35,BW Hilfenhaus,4,25,0,2,6.0,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
36,BW Hilfenhaus,2,9,0,1,4.0,2014-04-21,Delhi Daredevils,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings,0,0,29
37,BW Hilfenhaus,4,32,0,1,8.0,2014-04-23,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,0,0,29
38,BW Hilfenhaus,4,39,0,2,10.0,2014-04-25,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,0,0,54
39,BW Hilfenhaus,4,32,0,2,8.0,2014-04-27,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,0,0,54
40,BW Hilfenhaus,3,26,0,1,9.0,2014-05-02,Kolkata Knight Riders,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,29
41,BW Hilfenhaus,4,34,0,1,8.0,2014-05-05,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,29
42,BW Hilfenhaus,4,36,0,1,9.0,2014-05-07,Chennai Super Kings,Kings XI Punjab,Barabati Stadium,Chennai Super Kings,0,0,29
43,BW Hilfenhaus,3,38,0,0,13.0,2014-05-20,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,4
44,C Ganapathy,1,13,0,0,13.0,2010-03-31,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
45,CH Morris,4,27,0,2,7.0,2013-04-10,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,54
46,CH Morris,4,40,0,3,10.0,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
47,CH Morris,4,25,0,2,6.0,2013-04-15,Pune Warriors,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
48,CH Morris,2,13,0,1,6.0,2013-04-18,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,29
49,CH Morris,3,12,0,1,4.0,2013-04-20,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Chennai Super Kings,0,0,29
50,CH Morris,3,32,0,0,11.0,2013-04-22,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
51,CH Morris,3,24,0,0,8.0,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
52,CH Morris,3,29,0,1,10.0,2013-04-28,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
53,CH Morris,3,21,0,2,7.0,2013-04-30,Chennai Super Kings,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings,0,0,54
54,CH Morris,3,31,0,0,10.0,2013-05-02,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
55,CH Morris,3,14,0,0,5.0,2013-05-05,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,4
56,CH Morris,2,24,0,1,12.0,2013-05-08,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,0,0,29
57,CH Morris,4,36,0,1,9.0,2013-05-12,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,0,0,29
58,CH Morris,2,22,0,0,11.0,2013-05-18,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,0,0,4
59,CH Morris,3,26,0,1,9.0,2013-05-21,Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,29
60,CH Morris,4,25,0,2,6.0,2013-05-26,Mumbai Indians,Mumbai Indians,Eden Gardens,Chennai Super Kings,0,0,54
61,CK Kapugedera,1,15,0,0,15.0,2008-05-08,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,4
62,CK Kapugedera,1,8,0,0,8.0,2008-05-10,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
63,CK Kapugedera,0,26,0,0,inf,2008-05-14,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,4
64,DE Bollinger,4,15,0,2,4.0,2010-04-03,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
65,DE Bollinger,4,39,0,1,10.0,2010-04-06,Mumbai Indians,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
66,DE Bollinger,3,31,0,0,10.0,2010-04-10,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,0,0,4
67,DE Bollinger,4,15,1,2,4.0,2010-04-13,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,62
68,DE Bollinger,4,24,0,2,6.0,2010-04-15,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
69,DE Bollinger,4,39,0,0,10.0,2010-04-18,Chennai Super Kings,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,0,0,4
70,DE Bollinger,4,13,1,4,3.0,2010-04-22,Deccan Chargers,Chennai Super Kings,Dr DY Patil Sports Academy,Chennai Super Kings,1,0,120
71,DE Bollinger,4,31,0,2,8.0,2010-04-25,Mumbai Indians,Chennai Super Kings,Dr DY Patil Sports Academy,Chennai Super Kings,0,0,54
72,DE Bollinger,3,18,0,1,6.0,2011-04-18,Chennai Super Kings,Kochi Tuskers Kerala,Nehru Stadium,Chennai Super Kings,0,0,29
73,DE Bollinger,4,30,0,2,8.0,2011-04-22,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,54
74,DE Bollinger,4,20,0,3,5.0,2011-04-25,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
75,DE Bollinger,4,21,1,3,5.0,2011-04-27,Chennai Super Kings,Chennai Super Kings,Dr DY Patil Sports Academy,Chennai Super Kings,0,0,87
76,DE Bollinger,4,26,0,3,6.0,2011-05-01,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
77,DE Bollinger,4,28,0,0,7.0,2011-05-04,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
78,DE Bollinger,1,6,0,0,6.0,2011-05-07,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,4
79,DE Bollinger,4,22,0,3,6.0,2011-05-09,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,0,0,79
80,DE Bollinger,4,38,0,1,10.0,2011-05-12,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
81,DE Bollinger,4,38,0,2,10.0,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
82,DE Bollinger,4,34,0,0,8.0,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,0,0,4
83,DE Bollinger,4,20,0,1,5.0,2011-05-24,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,29
84,DE Bollinger,3,28,0,1,9.0,2011-05-28,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
85,DE Bollinger,4,34,0,2,8.0,2012-04-04,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
86,DE Bollinger,2,20,1,2,10.0,2012-04-07,Chennai Super Kings,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,0,0,62
87,DE Bollinger,2,18,0,0,9.0,2012-04-10,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,Chennai Super Kings,0,0,4
88,DE Bollinger,3,24,0,4,8.0,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,0,112
89,DE Bollinger,3,30,0,1,10.0,2012-04-19,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
90,DE Bollinger,4,31,0,1,8.0,2012-04-21,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
91,DJ Bravo,4,36,0,1,9.0,2011-05-09,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,0,0,29
92,DJ Bravo,3,21,0,2,7.0,2011-05-12,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
93,DJ Bravo,4,36,0,1,9.0,2011-05-18,Kochi Tuskers Kerala,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
94,DJ Bravo,4,21,0,0,5.0,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,0,0,4
95,DJ Bravo,3,28,0,1,9.0,2011-05-24,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,29
96,DJ Bravo,2,15,0,1,8.0,2011-05-28,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
97,DJ Bravo,3,14,0,1,5.0,2012-04-04,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
98,DJ Bravo,1,10,0,0,10.0,2012-04-07,Chennai Super Kings,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,0,0,4
99,DJ Bravo,1,5,0,0,5.0,2012-04-10,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,Chennai Super Kings,0,0,4
100,DJ Bravo,4,30,0,0,8.0,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
101,DJ Bravo,3,31,0,0,10.0,2012-04-14,Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium,Chennai Super Kings,0,0,4
102,DJ Bravo,4,28,0,2,7.0,2012-04-19,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
103,DJ Bravo,3,32,0,0,11.0,2012-04-21,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
104,DJ Bravo,4,28,0,3,7.0,2012-04-28,Kings XI Punjab,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
105,DJ Bravo,4,27,0,2,7.0,2012-04-30,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
106,DJ Bravo,4,35,0,2,9.0,2012-05-04,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
107,DJ Bravo,4,39,0,3,10.0,2012-05-06,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,79
108,DJ Bravo,3,38,0,0,13.0,2012-05-10,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,0,0,4
109,DJ Bravo,4,22,0,0,6.0,2012-05-12,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
110,DJ Bravo,3,22,0,1,7.0,2012-05-14,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Chennai Super Kings,0,0,29
111,DJ Bravo,3,18,0,2,6.0,2012-05-17,Chennai Super Kings,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,0,0,54
112,DJ Bravo,3,10,0,2,3.0,2012-05-23,Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,54
113,DJ Bravo,3,24,0,1,8.0,2012-05-25,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
114,DJ Bravo,4,49,0,1,12.0,2012-05-27,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
115,DJ Bravo,4,44,0,2,11.0,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
116,DJ Bravo,4,27,0,3,7.0,2013-04-10,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,79
117,DJ Bravo,4,32,0,1,8.0,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
118,DJ Bravo,4,35,0,2,9.0,2013-04-15,Pune Warriors,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
119,DJ Bravo,1,8,1,1,8.0,2013-04-18,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,37
120,DJ Bravo,2,14,0,2,7.0,2013-04-20,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Chennai Super Kings,0,0,54
121,DJ Bravo,4,36,0,2,9.0,2013-04-22,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
122,DJ Bravo,4,37,0,2,9.0,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
123,DJ Bravo,4,37,0,2,9.0,2013-04-28,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
124,DJ Bravo,4,18,0,1,4.0,2013-04-30,Chennai Super Kings,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings,0,0,29
125,DJ Bravo,4,34,0,3,8.0,2013-05-02,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
126,DJ Bravo,3,19,0,1,6.0,2013-05-05,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,29
127,DJ Bravo,4,25,0,1,6.0,2013-05-08,Chennai Super Kings,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,0,0,29
128,DJ Bravo,3,35,0,1,12.0,2013-05-12,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,0,0,29
129,DJ Bravo,4,19,0,2,5.0,2013-05-14,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
130,DJ Bravo,2,26,0,1,13.0,2013-05-18,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,0,0,29
131,DJ Bravo,3,9,0,3,3.0,2013-05-21,Mumbai Indians,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,79
132,DJ Bravo,4,42,0,4,10.0,2013-05-26,Mumbai Indians,Mumbai Indians,Eden Gardens,Chennai Super Kings,1,0,112
133,DJ Bravo,4,36,0,2,9.0,2015-04-09,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
134,DJ Bravo,4,25,0,2,6.0,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
135,DJ Bravo,4,30,0,2,8.0,2015-04-17,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,54
136,DJ Bravo,2,30,0,1,15.0,2015-04-19,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",Chennai Super Kings,0,0,29
137,DJ Bravo,3,25,0,1,8.0,2015-04-22,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,29
138,DJ Bravo,3,13,0,0,4.0,2015-04-25,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
139,DJ Bravo,3,22,0,3,7.0,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,79
140,DJ Bravo,2,27,0,0,14.0,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,4
141,DJ Bravo,4,25,0,3,6.0,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,0,0,79
142,DJ Bravo,3,17,1,3,6.0,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,87
143,DJ Bravo,2,16,0,1,8.0,2015-05-08,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
144,DJ Bravo,4,43,0,2,11.0,2015-05-10,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,54
145,DJ Bravo,2,20,0,1,10.0,2015-05-16,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,29
146,DJ Bravo,4,40,0,3,10.0,2015-05-19,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,79
147,DJ Bravo,3,21,0,2,7.0,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,54
148,DJ Bravo,4,36,0,2,9.0,2015-05-24,Chennai Super Kings,Mumbai Indians,Eden Gardens,Chennai Super Kings,0,0,54
149,DJ Hussey,3,38,0,2,13.0,2014-05-18,Royal Challengers Bangalore,Royal Challengers Bangalore,JSCA International Stadium Complex,Chennai Super Kings,0,0,54
150,DP Nannes,4,18,0,1,4.0,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
151,DP Nannes,3,17,0,3,6.0,2013-04-10,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,79
152,DP Nannes,4,31,0,1,8.0,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,29
153,DP Nannes,4,42,0,0,10.0,2013-04-15,Pune Warriors,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
154,DP Nannes,4,50,0,0,12.0,2013-04-28,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,4
155,DR Smith,2,25,0,1,12.0,2014-04-18,Kings XI Punjab,Kings XI Punjab,Sheikh Zayed Stadium,Chennai Super Kings,0,0,29
156,DR Smith,2,14,0,1,7.0,2014-04-21,Delhi Daredevils,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings,0,0,29
157,DR Smith,2,11,0,1,6.0,2014-04-27,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,0,0,29
158,DR Smith,1,9,0,0,9.0,2014-05-05,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,4
159,DR Smith,3,36,0,1,12.0,2014-05-07,Chennai Super Kings,Kings XI Punjab,Barabati Stadium,Chennai Super Kings,0,0,29
160,DR Smith,2,17,0,1,8.0,2015-05-24,Chennai Super Kings,Mumbai Indians,Eden Gardens,Chennai Super Kings,0,0,29
161,F du Plessis,1,16,0,0,16.0,2012-04-07,Chennai Super Kings,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,0,0,4
162,IC Pandey,4,23,0,2,6.0,2014-04-21,Delhi Daredevils,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings,0,0,54
163,IC Pandey,4,22,1,2,6.0,2014-04-23,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,0,0,62
164,IC Pandey,4,21,0,0,5.0,2014-04-25,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,0,0,4
165,IC Pandey,3,22,0,0,7.0,2014-04-27,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,0,0,4
166,IC Pandey,2,20,0,0,10.0,2014-05-02,Kolkata Knight Riders,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,4
167,IC Pandey,3,26,1,0,9.0,2014-05-05,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,12
168,IC Pandey,4,41,0,0,10.0,2014-05-07,Chennai Super Kings,Kings XI Punjab,Barabati Stadium,Chennai Super Kings,0,0,4
169,IC Pandey,4,34,0,1,8.0,2014-05-10,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,29
170,IC Pandey,3,18,0,0,6.0,2014-05-13,Rajasthan Royals,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,4
