,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,venue,team1,50s,100s,ducks,dr11Score
0,A Flintoff,24.0,25.0,2.0,1.0,96.0,Harbhajan Singh,0,caught and bowled,A Flintoff,2009-04-18,Mumbai Indians,Mumbai Indians,Newlands,Chennai Super Kings,0,0,0,32.0
1,A Flintoff,22.0,14.0,2.0,1.0,157.14285714285714,notOut,notOut,notOut,notOut,2009-04-20,Chennai Super Kings,Chennai Super Kings,St George's Park,Chennai Super Kings,0,0,0,30.0
2,A Flintoff,16.0,18.0,1.0,0.0,88.8888888888889,A Nehra,['DA Warner (sub)'],caught,A Flintoff,2009-04-23,Delhi Daredevils,Delhi Daredevils,Kingsmead,Chennai Super Kings,0,0,0,21.0
3,A Mukund,0.0,1.0,0.0,0.0,0.0,Sohail Tanvir,0,bowled,A Mukund,2008-05-24,Rajasthan Royals,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,1,2.0
4,A Nehra,0.0,1.0,0.0,0.0,0.0,notOut,notOut,notOut,notOut,2015-04-22,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,1,2.0
5,A Nehra,1.0,4.0,0.0,0.0,25.0,notOut,notOut,notOut,notOut,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,0,5.0
6,A Nehra,0.0,1.0,0.0,0.0,0.0,MA Starc,['KD Karthik'],run out,MM Sharma,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,1,2.0
7,A Nehra,0.0,1.0,0.0,0.0,0.0,SL Malinga,['LMP Simmons'],caught,A Nehra,2015-05-19,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,1,2.0
8,AS Rajpoot,2.0,6.0,0.0,0.0,33.33333333333333,notOut,notOut,notOut,notOut,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,6.0
9,B Laughlin,0.0,1.0,0.0,0.0,0.0,KA Pollard,0,bowled,B Laughlin,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,1,2.0
10,B Laughlin,4.0,8.0,0.0,0.0,50.0,notOut,notOut,notOut,notOut,2013-05-05,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,0,8.0
11,BB McCullum,67.0,49.0,4.0,5.0,136.73469387755102,AR Patel,['GJ Maxwell'],caught,BB McCullum,2014-04-18,Kings XI Punjab,Kings XI Punjab,Sheikh Zayed Stadium,Chennai Super Kings,1,0,0,93.0
12,BB McCullum,9.0,10.0,1.0,0.0,90.0,JD Unadkat,['WD Parnell (sub)'],caught,BB McCullum,2014-04-21,Delhi Daredevils,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings,0,0,0,14.0
13,BB McCullum,6.0,11.0,0.0,0.0,54.54545454545454,JP Faulkner,['SPD Smith'],caught,BB McCullum,2014-04-23,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,0,0,0,10.0
14,BB McCullum,71.0,54.0,8.0,2.0,131.4814814814815,notOut,notOut,notOut,notOut,2014-04-25,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,1,0,0,95.0
15,BB McCullum,40.0,33.0,3.0,2.0,121.21212121212122,KV Sharma,0,bowled,BB McCullum,2014-04-27,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,0,0,0,51.0
16,BB McCullum,56.0,40.0,5.0,2.0,140.0,AD Russell,['YK Pathan'],caught,BB McCullum,2014-05-02,Kolkata Knight Riders,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,1,0,0,77.0
17,BB McCullum,32.0,35.0,5.0,0.0,91.42857142857143,LR Shukla,['M Vijay'],caught,BB McCullum,2014-05-05,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,0,41.0
18,BB McCullum,33.0,30.0,3.0,0.0,110.0,notOut,notOut,notOut,notOut,2014-05-07,Chennai Super Kings,Kings XI Punjab,Barabati Stadium,Chennai Super Kings,0,0,0,40.0
19,BB McCullum,13.0,11.0,1.0,1.0,118.1818181818182,P Kumar,0,lbw,BB McCullum,2014-05-10,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,0,20.0
20,BB McCullum,6.0,3.0,0.0,1.0,200.0,Ankit Sharma,['KK Nair'],caught,BB McCullum,2014-05-13,Rajasthan Royals,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,0,12.0
21,BB McCullum,19.0,13.0,1.0,2.0,146.15384615384613,VR Aaron,['MA Starc'],caught,BB McCullum,2014-05-18,Royal Challengers Bangalore,Royal Challengers Bangalore,JSCA International Stadium Complex,Chennai Super Kings,0,0,0,28.0
22,BB McCullum,28.0,25.0,1.0,2.0,112.0,SP Narine,['SA Yadav'],caught,BB McCullum,2014-05-20,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,0,37.0
23,BB McCullum,14.0,11.0,0.0,2.0,127.27272727272728,PP Ojha,['AP Tare'],stumped,BB McCullum,2014-05-28,Mumbai Indians,Chennai Super Kings,Brabourne Stadium,Chennai Super Kings,0,0,0,22.0
24,BB McCullum,11.0,16.0,0.0,0.0,68.75,Karanveer Singh,['GJ Bailey'],run out,SK Raina,2014-05-30,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings,0,0,0,15.0
25,BB McCullum,11.0,16.0,0.0,0.0,68.75,AR Patel,"['GJ Maxwell', 'WP Saha']",run out,BB McCullum,2014-05-30,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings,0,0,0,15.0
26,BB McCullum,4.0,2.0,1.0,0.0,200.0,NM Coulter-Nile,['Yuvraj Singh'],caught,BB McCullum,2015-04-09,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,9.0
27,BB McCullum,100.0,59.0,7.0,9.0,169.4915254237288,RS Bopara,['TA Boult'],run out,DR Smith,2015-04-11,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,1,0,153.0
28,BB McCullum,46.0,23.0,6.0,2.0,200.0,Harbhajan Singh,['R Vinay Kumar'],caught,BB McCullum,2015-04-17,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,0,60.0
29,BB McCullum,12.0,7.0,3.0,0.0,171.42857142857142,PV Tambe,['JP Faulkner'],caught,BB McCullum,2015-04-19,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",Chennai Super Kings,0,0,0,19.0
30,BB McCullum,4.0,6.0,1.0,0.0,66.66666666666666,YS Chahal,['RR Rossouw'],caught,BB McCullum,2015-04-22,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,0,9.0
31,BB McCullum,66.0,47.0,8.0,3.0,140.42553191489358,AR Patel,['DA Miller'],caught,BB McCullum,2015-04-25,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,0,0,92.0
32,BB McCullum,19.0,14.0,3.0,1.0,135.71428571428572,PP Chawla,0,lbw,BB McCullum,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,28.0
33,BB McCullum,32.0,14.0,3.0,3.0,228.57142857142856,GB Hogg,0,lbw,BB McCullum,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,0,45.0
34,BB McCullum,12.0,5.0,3.0,0.0,240.0,B Kumar,0,bowled,BB McCullum,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,0,0,0,19.0
35,BB McCullum,20.0,15.0,4.0,0.0,133.33333333333331,D Wiese,['Iqbal Abdulla'],caught,BB McCullum,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,28.0
36,BB McCullum,23.0,11.0,3.0,1.0,209.0909090909091,R Vinay Kumar,['HH Pandya'],caught,BB McCullum,2015-05-08,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,32.0
37,BB McCullum,81.0,63.0,7.0,4.0,128.57142857142858,SR Watson,['SR Watson'],run out,F du Plessis,2015-05-10,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,0,0,108.0
38,BB McCullum,81.0,63.0,7.0,4.0,128.57142857142858,CH Morris,['Ankit Sharma'],caught,BB McCullum,2015-05-10,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,0,0,108.0
39,BB McCullum,11.0,21.0,1.0,0.0,52.38095238095239,Z Khan,['JP Duminy'],caught,BB McCullum,2015-05-12,Chennai Super Kings,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Chennai Super Kings,0,0,0,16.0
40,BB McCullum,6.0,6.0,1.0,0.0,100.0,BE Hendricks,0,bowled,BB McCullum,2015-05-16,Chennai Super Kings,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,0,0,0,11.0
41,CH Morris,7.0,4.0,0.0,0.0,175.0,notOut,notOut,notOut,notOut,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,11.0
42,CH Morris,5.0,5.0,0.0,0.0,100.0,notOut,notOut,notOut,notOut,2013-04-15,Pune Warriors,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,9.0
43,CH Morris,1.0,1.0,0.0,0.0,100.0,notOut,notOut,notOut,notOut,2013-04-22,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,5.0
44,CH Morris,0.0,1.0,0.0,0.0,0.0,notOut,notOut,notOut,notOut,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,1,2.0
45,CH Morris,1.0,5.0,0.0,0.0,20.0,SL Malinga,0,bowled,CH Morris,2013-05-05,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,0,5.0
46,CH Morris,0.0,1.0,0.0,0.0,0.0,Harbhajan Singh,['KD Karthik'],caught,CH Morris,2013-05-26,Mumbai Indians,Mumbai Indians,Eden Gardens,Chennai Super Kings,0,0,1,2.0
47,CK Kapugedera,8.0,9.0,0.0,0.0,88.8888888888889,VY Mahesh,['S Dhawan'],caught,CK Kapugedera,2008-05-08,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,0,12.0
48,CK Kapugedera,0.0,2.0,0.0,0.0,0.0,DS Kulkarni,['YV Takawale'],caught,CK Kapugedera,2008-05-14,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,1,2.0
49,CK Kapugedera,8.0,13.0,0.0,0.0,61.53846153846154,Sohail Tanvir,['SA Asnodkar'],caught,CK Kapugedera,2008-06-01,Rajasthan Royals,Rajasthan Royals,Dr DY Patil Sports Academy,Chennai Super Kings,0,0,0,12.0
50,DE Bollinger,2.0,3.0,0.0,0.0,66.66666666666666,notOut,notOut,notOut,notOut,2010-04-10,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,0,0,0,6.0
51,DE Bollinger,16.0,14.0,1.0,1.0,114.28571428571428,notOut,notOut,notOut,notOut,2010-04-15,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,23.0
52,DE Bollinger,0.0,1.0,0.0,0.0,0.0,notOut,notOut,notOut,notOut,2011-04-22,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,1,2.0
53,DE Bollinger,3.0,5.0,0.0,0.0,60.0,SL Malinga,['RG Sharma'],caught,DE Bollinger,2012-04-04,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,7.0
54,DJ Bravo,5.0,5.0,1.0,0.0,100.0,DL Vettori,0,lbw,DJ Bravo,2011-05-22,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,0,0,0,10.0
55,DJ Bravo,6.0,1.0,0.0,1.0,600.0,notOut,notOut,notOut,notOut,2011-05-28,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,12.0
56,DJ Bravo,19.0,19.0,3.0,0.0,100.0,PP Ojha,['KA Pollard'],caught,DJ Bravo,2012-04-04,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,26.0
57,DJ Bravo,43.0,19.0,0.0,5.0,226.3157894736842,notOut,notOut,notOut,notOut,2012-04-07,Chennai Super Kings,Chennai Super Kings,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Chennai Super Kings,0,0,0,57.0
58,DJ Bravo,22.0,31.0,1.0,0.0,70.96774193548387,UT Yadav,0,bowled,DJ Bravo,2012-04-10,Chennai Super Kings,Delhi Daredevils,Feroz Shah Kotla,Chennai Super Kings,0,0,0,27.0
59,DJ Bravo,25.0,15.0,2.0,1.0,166.66666666666669,notOut,notOut,notOut,notOut,2012-04-12,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,33.0
60,DJ Bravo,5.0,2.0,1.0,0.0,250.0,notOut,notOut,notOut,notOut,2012-04-14,Chennai Super Kings,Pune Warriors,Subrata Roy Sahara Stadium,Chennai Super Kings,0,0,0,10.0
61,DJ Bravo,12.0,8.0,0.0,1.0,150.0,A Nehra,['AD Mathews'],caught,DJ Bravo,2012-04-19,Pune Warriors,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,18.0
62,DJ Bravo,16.0,10.0,1.0,0.0,160.0,notOut,notOut,notOut,notOut,2012-04-21,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,21.0
63,DJ Bravo,30.0,23.0,0.0,2.0,130.43478260869566,P Kumar,['PP Chawla'],caught,DJ Bravo,2012-04-28,Kings XI Punjab,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,38.0
64,DJ Bravo,12.0,14.0,0.0,1.0,85.71428571428571,JH Kallis,['Iqbal Abdulla'],caught,DJ Bravo,2012-04-30,Kolkata Knight Riders,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,18.0
65,DJ Bravo,12.0,4.0,0.0,1.0,300.0,notOut,notOut,notOut,notOut,2012-05-04,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,18.0
66,DJ Bravo,40.0,34.0,4.0,1.0,117.64705882352942,SL Malinga,0,bowled,DJ Bravo,2012-05-06,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,0,50.0
67,DJ Bravo,10.0,15.0,0.0,0.0,66.66666666666666,SK Trivedi,['STR Binny'],caught,DJ Bravo,2012-05-10,Chennai Super Kings,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,0,0,0,14.0
68,DJ Bravo,11.0,7.0,0.0,1.0,157.14285714285714,notOut,notOut,notOut,notOut,2012-05-14,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Chennai Super Kings,0,0,0,17.0
69,DJ Bravo,48.0,43.0,2.0,3.0,111.6279069767442,RJ Harris,['AC Gilchrist'],caught,DJ Bravo,2012-05-17,Chennai Super Kings,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,0,0,0,60.0
70,DJ Bravo,33.0,15.0,3.0,2.0,220.00000000000003,notOut,notOut,notOut,notOut,2012-05-23,Mumbai Indians,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,0,44.0
71,DJ Bravo,33.0,12.0,3.0,2.0,275.0,notOut,notOut,notOut,notOut,2012-05-25,Chennai Super Kings,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,44.0
72,DJ Bravo,10.0,17.0,0.0,0.0,58.82352941176471,PP Ojha,['KD Karthik'],caught,DJ Bravo,2013-04-06,Mumbai Indians,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,14.0
73,DJ Bravo,8.0,4.0,0.0,1.0,200.0,R Rampaul,0,lbw,DJ Bravo,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,14.0
74,DJ Bravo,1.0,5.0,0.0,0.0,20.0,R Sharma,['SPD Smith'],caught,DJ Bravo,2013-04-15,Pune Warriors,Pune Warriors,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,5.0
75,DJ Bravo,3.0,3.0,0.0,0.0,100.0,UT Yadav,"['BMAJ Mendis', 'KM Jadhav']",run out,DJ Bravo,2013-04-18,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,0,0,0,7.0
76,DJ Bravo,7.0,4.0,1.0,0.0,175.0,notOut,notOut,notOut,notOut,2013-04-20,Chennai Super Kings,Chennai Super Kings,Eden Gardens,Chennai Super Kings,0,0,0,12.0
77,DJ Bravo,15.0,9.0,0.0,1.0,166.66666666666669,notOut,notOut,notOut,notOut,2013-04-22,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,21.0
78,DJ Bravo,7.0,16.0,0.0,0.0,43.75,I Sharma,['A Ashish Reddy'],caught,DJ Bravo,2013-04-25,Sunrisers Hyderabad,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,11.0
79,DJ Bravo,9.0,7.0,2.0,0.0,128.57142857142858,P Suyal,['AT Rayudu'],caught,DJ Bravo,2013-05-05,Chennai Super Kings,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,0,15.0
80,DJ Bravo,23.0,11.0,4.0,0.0,209.0909090909091,notOut,notOut,notOut,notOut,2013-05-12,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,0,0,0,31.0
81,DJ Bravo,12.0,8.0,1.0,0.0,150.0,notOut,notOut,notOut,notOut,2013-05-14,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,17.0
82,DJ Bravo,11.0,10.0,0.0,1.0,110.0,R Vinay Kumar,['SS Tiwary'],caught,DJ Bravo,2013-05-18,Chennai Super Kings,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,0,0,0,17.0
83,DJ Bravo,15.0,18.0,3.0,0.0,83.33333333333334,R Dhawan,['MG Johnson'],caught,DJ Bravo,2013-05-26,Mumbai Indians,Mumbai Indians,Eden Gardens,Chennai Super Kings,0,0,0,22.0
84,DJ Bravo,8.0,3.0,0.0,1.0,266.66666666666663,notOut,notOut,notOut,notOut,2014-04-18,Kings XI Punjab,Kings XI Punjab,Sheikh Zayed Stadium,Chennai Super Kings,0,0,0,14.0
85,DJ Bravo,1.0,3.0,0.0,0.0,33.33333333333333,DJ Muthuswami,0,lbw,DJ Bravo,2015-04-09,Delhi Daredevils,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,5.0
86,DJ Bravo,13.0,5.0,1.0,1.0,260.0,notOut,notOut,notOut,notOut,2015-04-17,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,0,0,0,20.0
87,DJ Bravo,62.0,38.0,8.0,1.0,163.1578947368421,notOut,notOut,notOut,notOut,2015-04-19,Chennai Super Kings,Rajasthan Royals,"Sardar Patel Stadium, Motera",Chennai Super Kings,1,0,0,84.0
88,DJ Bravo,5.0,4.0,1.0,0.0,125.0,Iqbal Abdulla,['AB de Villiers'],caught,DJ Bravo,2015-04-22,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,0,10.0
89,DJ Bravo,5.0,7.0,1.0,0.0,71.42857142857143,PP Chawla,['SA Yadav'],caught,DJ Bravo,2015-04-28,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,10.0
90,DJ Bravo,30.0,32.0,4.0,0.0,93.75,AD Russell,0,bowled,DJ Bravo,2015-04-30,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,0,38.0
91,DJ Bravo,25.0,21.0,3.0,0.0,119.04761904761904,notOut,notOut,notOut,notOut,2015-05-02,Chennai Super Kings,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,0,0,0,32.0
92,DJ Bravo,2.0,3.0,0.0,0.0,66.66666666666666,MA Starc,['D Wiese'],caught,DJ Bravo,2015-05-04,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,6.0
93,DJ Bravo,15.0,8.0,2.0,0.0,187.5,notOut,notOut,notOut,notOut,2015-05-10,Rajasthan Royals,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,0,0,0,21.0
94,DJ Bravo,8.0,8.0,0.0,1.0,100.0,GS Sandhu,['JP Duminy'],caught,DJ Bravo,2015-05-12,Chennai Super Kings,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Chennai Super Kings,0,0,0,14.0
95,DJ Bravo,20.0,15.0,2.0,1.0,133.33333333333331,notOut,notOut,notOut,notOut,2015-05-19,Mumbai Indians,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,0,0,0,28.0
96,DJ Bravo,0.0,1.0,0.0,0.0,0.0,MA Starc,0,bowled,DJ Bravo,2015-05-22,Royal Challengers Bangalore,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,1,2.0
97,DJ Bravo,9.0,6.0,0.0,1.0,150.0,MJ McClenaghan,['LMP Simmons'],caught,DJ Bravo,2015-05-24,Chennai Super Kings,Mumbai Indians,Eden Gardens,Chennai Super Kings,0,0,0,15.0
98,DJ Hussey,25.0,31.0,1.0,1.0,80.64516129032258,M Muralitharan,['MA Starc'],caught,DJ Hussey,2014-05-18,Royal Challengers Bangalore,Royal Challengers Bangalore,JSCA International Stadium Complex,Chennai Super Kings,0,0,0,32.0
99,DJ Hussey,50.0,33.0,5.0,2.0,151.5151515151515,notOut,notOut,notOut,notOut,2014-05-22,Sunrisers Hyderabad,Sunrisers Hyderabad,JSCA International Stadium Complex,Chennai Super Kings,1,0,0,71.0
100,DJ Hussey,40.0,29.0,2.0,3.0,137.93103448275863,notOut,notOut,notOut,notOut,2014-05-28,Mumbai Indians,Chennai Super Kings,Brabourne Stadium,Chennai Super Kings,0,0,0,52.0
101,DJ Hussey,1.0,3.0,0.0,0.0,33.33333333333333,P Awana,['V Sehwag'],caught,DJ Hussey,2014-05-30,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings,0,0,0,5.0
102,DR Smith,66.0,46.0,6.0,3.0,143.47826086956522,L Balaji,['GJ Bailey'],caught,DR Smith,2014-04-18,Kings XI Punjab,Kings XI Punjab,Sheikh Zayed Stadium,Chennai Super Kings,1,0,0,90.0
103,DR Smith,29.0,29.0,3.0,0.0,100.0,S Nadeem,0,bowled,DR Smith,2014-04-21,Delhi Daredevils,Chennai Super Kings,Sheikh Zayed Stadium,Chennai Super Kings,0,0,0,36.0
104,DR Smith,50.0,28.0,6.0,3.0,178.5714285714286,STR Binny,['SR Watson'],caught,DR Smith,2014-04-23,Chennai Super Kings,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,1,0,0,74.0
105,DR Smith,29.0,22.0,0.0,4.0,131.8181818181818,PP Ojha,['CJ Anderson'],caught,DR Smith,2014-04-25,Mumbai Indians,Chennai Super Kings,Dubai International Cricket Stadium,Chennai Super Kings,0,0,0,41.0
106,DR Smith,66.0,46.0,4.0,5.0,143.47826086956522,B Kumar,['DA Warner'],caught,DR Smith,2014-04-27,Chennai Super Kings,Chennai Super Kings,Sharjah Cricket Stadium,Chennai Super Kings,1,0,0,92.0
107,DR Smith,16.0,11.0,2.0,1.0,145.45454545454547,Shakib Al Hasan,0,lbw,DR Smith,2014-05-02,Kolkata Knight Riders,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,0,24.0
108,DR Smith,79.0,51.0,4.0,8.0,154.90196078431373,WD Parnell,['M Vijay'],caught,DR Smith,2014-05-05,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,1,0,0,111.0
109,DR Smith,4.0,5.0,1.0,0.0,80.0,Sandeep Sharma,['MG Johnson'],caught,DR Smith,2014-05-07,Chennai Super Kings,Kings XI Punjab,Barabati Stadium,Chennai Super Kings,0,0,0,9.0
110,DR Smith,57.0,51.0,5.0,3.0,111.76470588235294,P Kumar,['LMP Simmons'],caught,DR Smith,2014-05-10,Chennai Super Kings,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,1,0,0,80.0
111,DR Smith,44.0,38.0,5.0,2.0,115.7894736842105,KK Cooper,['DH Yagnik'],caught,DR Smith,2014-05-13,Rajasthan Royals,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,0,0,0,57.0
112,DR Smith,9.0,15.0,1.0,0.0,60.0,VR Aaron,['AB de Villiers'],caught,DR Smith,2014-05-18,Royal Challengers Bangalore,Royal Challengers Bangalore,JSCA International Stadium Complex,Chennai Super Kings,0,0,0,14.0
113,DR Smith,5.0,6.0,1.0,0.0,83.33333333333334,PJ Cummins,0,bowled,DR Smith,2014-05-20,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,0,0,0,10.0
114,DR Smith,47.0,28.0,4.0,4.0,167.85714285714286,KV Sharma,['KV Sharma'],run out,F du Plessis,2014-05-22,Sunrisers Hyderabad,Sunrisers Hyderabad,JSCA International Stadium Complex,Chennai Super Kings,0,0,0,63.0
115,DR Smith,47.0,28.0,4.0,4.0,167.85714285714286,KV Sharma,0,lbw,DR Smith,2014-05-22,Sunrisers Hyderabad,Sunrisers Hyderabad,JSCA International Stadium Complex,Chennai Super Kings,0,0,0,63.0
116,DR Smith,34.0,17.0,4.0,1.0,200.0,R Rampaul,['V Kohli'],caught,DR Smith,2014-05-24,Chennai Super Kings,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,0,0,0,44.0
117,DR Smith,24.0,20.0,4.0,0.0,120.0,Harbhajan Singh,['KA Pollard'],caught,DR Smith,2014-05-28,Mumbai Indians,Chennai Super Kings,Brabourne Stadium,Chennai Super Kings,0,0,0,32.0
118,DR Smith,7.0,12.0,0.0,0.0,58.33333333333334,Sandeep Sharma,0,bowled,DR Smith,2014-05-30,Kings XI Punjab,Kings XI Punjab,Wankhede Stadium,Chennai Super Kings,0,0,0,11.0
